S	f(3s)	a	-.123168E-2 0.731726E-1 0.251667E+0 0.188135E+0 0.583320E-1 0.225561E-1 0.762594E-2 0.215242E-2
S	f(3s)	b	0.621658E+4 0.337589E+2 0.154694E+2 0.685235E+1 0.249071E+1 0.795694E+0 0.220150E+0 0.334557E-1
S	f(p0)	a	0.653050E-1 0.288662E+0 0.312888E+0 0.145935E+0 0.515027E-1 0.197659E-1 0.694907E-2 0.204025E-2
S	f(p0)	b	0.667424E+2 0.311326E+2 0.141965E+2 0.597816E+1 0.216502E+1 0.720814E+0 0.204358E+0 0.318191E-1
S	f(p1)	a	0.125829E+0 0.570910E+0 0.598061E+0 0.224624E+0 0.555759E-1 0.226607E-1 0.765987E-2 0.215185E-2
S	f(p1)	b	0.713791E+2 0.345221E+2 0.163819E+2 0.720102E+1 0.243917E+1 0.789110E+0 0.219039E+0 0.333991E-1
Cl	f(tot)	a	0.575534E+0 0.162672E+1 0.143440E+1 0.606229E+0 0.326098E+0 0.186617E+0 0.769812E-1 0.270362E-1
Cl	f(tot)	b	0.432078E+2 0.190965E+2 0.860668E+1 0.359302E+1 0.130970E+1 0.497627E+0 0.156787E+0 0.256421E-1
Cl	f(core)	a	-.190749E-2 -.288664E-3 0.552076E-2 0.658221E-1 0.111266E+0 0.721868E-1 0.332460E-1 0.132310E-1
Cl	f(core)	b	0.800282E+4 0.129881E+4 0.457782E+1 0.190678E+1 0.892963E+0 0.382339E+0 0.127907E+0 0.216574E-1
Cl	f(3s)	a	-.354373E-3 0.521326E-1 0.198599E+0 0.161546E+0 0.507392E-1 0.200097E-1 0.703639E-2 0.204794E-2
Cl	f(3s)	b	0.201314E+5 0.284153E+2 0.131466E+2 0.593057E+1 0.222747E+1 0.725006E+0 0.206579E+0 0.319758E-1
Cl	f(p0)	a	-.225678E-2 0.903328E-1 0.282409E+0 0.225193E+0 0.793384E-1 0.268312E-1 0.876584E-2 0.234567E-2
Cl	f(p0)	b	0.648424E+4 0.469340E+2 0.202860E+2 0.845500E+1 0.306227E+1 0.933567E+0 0.245203E+0 0.361226E-1
Cl	f(p1)	a	-.233639E-2 0.167529E+0 0.551733E+0 0.420540E+0 0.104423E+0 0.307262E-1 0.100309E-1 0.251651E-2
